8912357COFFEY  SD19631121LM51M
8812355DUBRANT FL19631130LM52M
8912354FAHY    ML19691203LM51M
9012351FLOOD   MB19650412LM62M
8912358FORD    LM19671009LM60M
8912353GORMAN  WJ19690211LM51M
9012352HUBERT  TJ19681114LM60M
9012353JONES   VT19680726LM51M
8812356MACKEY  TD19690918LM60M
9012356MORGAN  WR19700910LM51M
9012358NORMAN  LK19650423LM51M
8712352POWER   TG19681219LM51M
8912355RYAN    GN19670917LM60M
8712353SWEENEY ST19690905LM52M
8812359SWINDON GL19650227LM45M
8712354WALSH   SM19700313LM60M
8712355WILLIAMSTJ19650128LM51M
8712358WILSON  HA19640414LM52M
